Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,lat,lon
Burkina Faso,2023-03-09,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-10,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burundi,2023-03-02,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-03,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-04,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-05,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-06,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-07,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-08,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-09,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Burundi,2023-03-10,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,Africa,235,-3.426449,29.9324519
Central African Republic,2023-03-02,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,7.0323598,19.9981227
Central African Republic,2023-03-03,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,7.0323598,19.9981227
Central African Republic,2023-03-04,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,7.0323598,19.9981227
Central African Republic,2023-03-05,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,7.0323598,19.9981227
